2023-12-19 17:12:127 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 17:12:434 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 17:12:528 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (bfec201afb9ee694da51a0a095d7ceb4)] -> xpath: //button[@type='submit']]
2023-12-19 17:12:528 INFO  LoginPage :64 - Verifying Login: [[ChromeDriver: chrome on windows (bfec201afb9ee694da51a0a095d7ceb4)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-19 17:12:954 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 17:12:256 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 17:12:363 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (21a50ac588afd72737e8a7b5863b70b1)] -> xpath: //button[@type='submit']]
2023-12-19 17:12:427 INFO  DashboardPage :32 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (21a50ac588afd72737e8a7b5863b70b1)] -> xpath: //img[@alt='client brand banner']]
2023-12-19 17:12:780 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 17:12:71 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 17:12:194 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (742fb876c2f7e47b356cdfd891b93727)] -> xpath: //button[@type='submit']]
2023-12-19 17:12:299 INFO  HomePage :44 - Clicking on user profile logo: [[ChromeDriver: chrome on windows (742fb876c2f7e47b356cdfd891b93727)] -> xpath: //p[@class='oxd-userdropdown-name']]
2023-12-19 17:12:876 INFO  HomePage :50 - Clicking on Log Out: [[ChromeDriver: chrome on windows (742fb876c2f7e47b356cdfd891b93727)] -> xpath: //a[normalize-space()='Logout']]
2023-12-19 17:12:75 INFO  LoginPage :37 - Verifying Login Text: [[ChromeDriver: chrome on windows (742fb876c2f7e47b356cdfd891b93727)] -> xpath: //h5[normalize-space()='Login']]
2023-12-19 17:12:367 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 17:12:672 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 17:12:772 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (431cd8508090ebc1f8c49433b30d6b66)] -> xpath: //button[@type='submit']]
2023-12-19 17:12:865 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (431cd8508090ebc1f8c49433b30d6b66)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-19 17:12:92 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (431cd8508090ebc1f8c49433b30d6b66)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-19 17:12:124 INFO  ViewSystemUsersPage :76 - Clicking on Add button: [[ChromeDriver: chrome on windows (431cd8508090ebc1f8c49433b30d6b66)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2023-12-19 17:12:629 INFO  ViewSystemUsersPage :81 - Verifying User added text: Add User
2023-12-19 17:12:161 INFO  ViewSystemUsersPage :86 - Selecting Admin from Admin dropdown: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Admin')]'
2023-12-19 17:12:825 INFO  ViewSystemUsersPage :94 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'Goutam  Ganesh')]'
2023-12-19 17:12:470 INFO  ViewSystemUsersPage :101 - Entering User: [[ChromeDriver: chrome on windows (431cd8508090ebc1f8c49433b30d6b66)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[4]/div[1]/div[2]/input[1]]
2023-12-19 17:12:74 INFO  ViewSystemUsersPage :106 - Selecting Status Disable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Disabled')]'
2023-12-19 17:12:200 INFO  ViewSystemUsersPage :122 - Entering Password: [[ChromeDriver: chrome on windows (431cd8508090ebc1f8c49433b30d6b66)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-12-19 17:12:267 INFO  ViewSystemUsersPage :127 - Entering Confirm Password: [[ChromeDriver: chrome on windows (431cd8508090ebc1f8c49433b30d6b66)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[2]/div[1]/div[2]/input[1]]
2023-12-19 17:12:343 INFO  ViewSystemUsersPage :132 - Clicking on Save: [[ChromeDriver: chrome on windows (431cd8508090ebc1f8c49433b30d6b66)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-12-19 17:12:549 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 17:12:911 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 17:12:09 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (ca76649b42eeb5ac0aefd364f96473db)] -> xpath: //button[@type='submit']]
2023-12-19 17:12:128 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (ca76649b42eeb5ac0aefd364f96473db)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-19 17:12:440 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (ca76649b42eeb5ac0aefd364f96473db)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-19 17:12:486 INFO  AddUserPage :63 - Entering User Name: [[ChromeDriver: chrome on windows (ca76649b42eeb5ac0aefd364f96473db)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-12-19 17:12:81 INFO  AddUserPage :68 - Selecting Role: [[ChromeDriver: chrome on windows (ca76649b42eeb5ac0aefd364f96473db)] -> xpath: //div[@class='oxd-grid-4 orangehrm-full-width-grid']/div[2]/div/div[2]/div/div/div[2]/i]
2023-12-19 17:12:715 INFO  AddUserPage :75 - Selecting Status Disable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Disabled')]'
2023-12-19 17:12:414 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 17:12:707 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 17:12:811 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //button[@type='submit']]
2023-12-19 17:12:825 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-19 17:12:265 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-19 17:12:296 INFO  ViewSystemUsersPage :76 - Clicking on Add button: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2023-12-19 17:12:816 INFO  ViewSystemUsersPage :81 - Verifying User added text: Add User
2023-12-19 17:12:353 INFO  ViewSystemUsersPage :86 - Selecting Admin from Admin dropdown: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Admin')]'
2023-12-19 17:12:13 INFO  ViewSystemUsersPage :94 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'Goutam  Ganesh')]'
2023-12-19 17:12:637 INFO  ViewSystemUsersPage :101 - Entering User: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[4]/div[1]/div[2]/input[1]]
2023-12-19 17:12:238 INFO  ViewSystemUsersPage :114 - Selecting Status Enable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Enabled')]'
2023-12-19 17:12:369 INFO  ViewSystemUsersPage :122 - Entering Password: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-12-19 17:12:425 INFO  ViewSystemUsersPage :127 - Entering Confirm Password: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[2]/div[1]/div[2]/input[1]]
2023-12-19 17:12:503 INFO  ViewSystemUsersPage :132 - Clicking on Save: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-12-19 17:12:849 INFO  AddUserPage :63 - Entering User Name: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-12-19 17:12:462 INFO  AddUserPage :68 - Selecting Role: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //div[@class='oxd-grid-4 orangehrm-full-width-grid']/div[2]/div/div[2]/div/div/div[2]/i]
2023-12-19 17:12:72 INFO  AddUserPage :82 - Selecting Status Disable: [[ChromeDriver: chrome on windows (4f6415fd7a19e28a5e3e5eeb85b87165)] -> xpath: //div[contains(text(),'Enabled')]]
